taxid,input_term,domain,kingdom,phylum,class,order,family,genus,species
2594042,Candidatus_Prometheoarchaeum_syntrophicum,d__Archaea,k__Archaea,p__Candidatus_Lokiarchaeota,c__Candidatus_Prometheoarchaeum__G+,o__Candidatus_Prometheoarchaeum__G+,f__Candidatus_Prometheoarchaeum__G+,g__Candidatus_Prometheoarchaeum,s__Candidatus_Prometheoarchaeum_syntrophicum
2528253,Methanococcaceae_archaeon,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcaceae_archaeon__S+,s__Methanococcaceae_archaeon
1841598,Candidatus_Heimdallarchaeota_archaeon_LC_3,d__Archaea,k__Archaea,p__Candidatus_Heimdallarchaeota,c__Candidatus_Heimdallarchaeota_archaeon_LC_3__S+,o__Candidatus_Heimdallarchaeota_archaeon_LC_3__S+,f__Candidatus_Heimdallarchaeota_archaeon_LC_3__S+,g__Candidatus_Heimdallarchaeota_archaeon_LC_3__S+,s__Candidatus_Heimdallarchaeota_archaeon_LC_3
176309,uncultured_Methanocorpusculum_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocorpusculaceae,g__Methanocorpusculum,s__uncultured_Methanocorpusculum_sp
1238425,Haloquadratum_walsbyi_J07HQW2,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloquadratum,s__Haloquadratum_walsbyi
680118,Methanothermobacter_tenebrarum,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanothermobacter,s__Methanothermobacter_tenebrarum
2716262,Methanomicrobiaceae_archaeon,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanomicrobiaceae_archaeon__S+,s__Methanomicrobiaceae_archaeon
1674923,Thermococcus_sp_2319x1,d__Archaea,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_sp_2319x1
2053489,Candidatus_Lokiarchaeota_archaeon,d__Archaea,k__Archaea,p__Candidatus_Lokiarchaeota,c__Candidatus_Lokiarchaeota_archaeon__S+,o__Candidatus_Lokiarchaeota_archaeon__S+,f__Candidatus_Lokiarchaeota_archaeon__S+,g__Candidatus_Lokiarchaeota_archaeon__S+,s__Candidatus_Lokiarchaeota_archaeon
1915560,Methanosaeta_sp_UBA372,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanosaeta_sp_UBA372
114243,uncultured_euryarchaeote,d__Archaea,k__Archaea,p__Euryarchaeota,c__uncultured_euryarchaeote__S+,o__uncultured_euryarchaeote__S+,f__uncultured_euryarchaeote__S+,g__uncultured_euryarchaeote__S+,s__uncultured_euryarchaeote
1816183,Haloplanus_rallus,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus_rallus
2052170,Methanoregula_sp,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,s__Methanoregula_sp
2654197,Thermococcus_sp_101_C5,d__Archaea,k__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus_sp_101_C5
1915627,Methanococcaceae_archaeon_UBA115,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanocellales,f__Methanocellaceae,g__Methanococcaceae_archaeon_UBA115__S+,s__Methanococcaceae_archaeon_UBA115
2200,Methanoculleus_thermophilus,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanoculleus,s__Methanoculleus_thermophilus
523845,Methanothermococcus_thermolithotrophicus_DSM_2095,d__Archaea,k__Archaea,p__Euryarchaeota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanothermococcus,s__Methanothermococcus_thermolithotrophicus
2594798,Nanohaloarchaea_archaeon,d__Archaea,k__Archaea,p__Euryarchaeota,c__Nanohaloarchaea,o__Nanohaloarchaea_archaeon__S+,f__Nanohaloarchaea_archaeon__S+,g__Nanohaloarchaea_archaeon__S+,s__Nanohaloarchaea_archaeon
419942,Sulfolobus_islandicus_Y_N_15_51,d__Archaea,k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Sulfolobus,s__Sulfolobus_islandicus
1364933,Halorubrum_rutilum,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_rutilum
2014241,Candidatus_Altiarchaeum_sp_CG03_land_8_20_14_0_80_32_618,d__Archaea,k__Archaea,p__Candidatus_Altiarchaeota,c__Candidatus_Altiarchaeales__O+,o__Candidatus_Altiarchaeales,f__Candidatus_Altiarchaeum__G+,g__Candidatus_Altiarchaeum,s__Candidatus_Altiarchaeum_sp_CG03_land_8_20_14_0_80_32_618
1974385,Candidatus_Bathyarchaeota_archaeon_CG07_land_8_20_14_0_80_47_9,d__Archaea,k__Archaea,p__Candidatus_Bathyarchaeota,c__Candidatus_Bathyarchaeota_archaeon_CG07_land_8_20_14_0_80_47_9__S+,o__Candidatus_Bathyarchaeota_archaeon_CG07_land_8_20_14_0_80_47_9__S+,f__Candidatus_Bathyarchaeota_archaeon_CG07_land_8_20_14_0_80_47_9__S+,g__Candidatus_Bathyarchaeota_archaeon_CG07_land_8_20_14_0_80_47_9__S+,s__Candidatus_Bathyarchaeota_archaeon_CG07_land_8_20_14_0_80_47_9
1853690,Halolamina_sp_CBA1230,d__Archaea,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halolamina,s__Halolamina_sp_CBA1230
